"month_year","Tavg"
"21-08",26.5317732366513
"21-09",26.7853587115666
"21-10",27.3053981106613
"21-11",27.2209102902375
"21-12",26.815379494008
"22-01",26.5304026845638
"22-02",26.7295115332429
"22-03",26.9399057873486
"22-04",27.256696125085
"22-05",27.1704359673025
"22-06",26.6941416893733
"22-07",26.3800397877984
"22-08",26.5581287325813
"22-09",26.900962962963
"22-10",27.2297554347826
"22-11",27.1790806129247
"22-12",26.7058389261745
"23-01",26.5388963660834
"23-02",26.7728561782579
"23-03",26.9944966442953
"23-04",27.2482923497268
"23-05",27.1960878517502
"23-06",26.6104942450914
"23-07",26.3648666666667
"23-08",26.6218085106383
"23-09",26.9623252391464
"23-10",27.1754362416107
"23-11",27.2090013140604
"23-12",26.7857620320856
"24-01",26.5648359008707
"24-02",26.7869039623909
"24-03",26.9740442655936
"24-04",27.1999318336742
"24-05",27.2256968048946
"24-06",26.5639700883753
"24-07",26.2827978580991
"24-08",26.5202523240372
"24-09",26.9332114118508
"24-10",27.1907008086253
"24-11",27.160198019802
"24-12",26.8674339878131
"25-01",26.5218560860794
"25-02",26.8076196898179
"25-03",27.0259485094851
"25-04",27.1447154471545
"25-05",27.2469707283867
"25-06",26.5045236463331
"25-07",26.3367401469606
"25-08",26.4308405029782
"25-09",26.9632592592593
"25-10",27.2042567567568
"25-11",27.1030483764082
"25-12",26.7889039242219
"26-01",26.6984459459459
"26-02",26.8700203942896
"26-03",26.9514497639919
"26-04",27.0531740614334
"26-05",27.2057455540356
"26-06",26.5714580467675
"26-07",26.3317024128686
"26-08",26.5428
"26-09",26.967354458364
"26-10",27.1776876267748
"26-11",27.0994684385382
"26-12",26.8206827309237
"27-01",26.7458697112156
"27-02",26.9810901749664
"27-03",27.0125338753388
"27-04",27.0493935309973
"27-05",27.1385296119809
"27-06",26.5182128240109
"27-07",26.4041778975741
"27-08",26.5894562334217
"27-09",26.8946268656716
"27-10",27.1431833445265
"27-11",27.2483914209115
"27-12",26.8936486486487
"28-01",26.754527027027
"28-02",26.9187245590231
"28-03",27.0050709939148
"28-04",27.0868169398907
"28-05",27.1381436314363
"28-06",26.4298090040928
"28-07",26.4489632107023
"28-08",26.5468438538206
"28-09",26.9785090664876
"28-10",27.1676151761518
"28-11",27.1724441435342
"28-12",26.8007422402159
"29-01",26.6438761776581
"29-02",26.9669811320755
"29-03",27.0461434370771
"29-04",27.1603683492497
"29-05",27.1315682281059
"29-06",26.4546127946128
"29-07",26.4062374245473
"29-08",26.5284759358289
"29-09",27.0262416107383
"29-10",27.1590053763441
"29-11",27.1166666666667
"29-12",26.7802958977808
"30-01",26.6203378378378
"30-03",26.9811475409836
"30-04",27.1586648685098
"30-05",27.0198375084631
"30-06",26.4307535641548
"30-07",26.3760430686406
"30-08",26.5385130609511
"30-09",27.1100404312668
"30-10",27.1991257565568
"30-11",27.1292895442359
"30-12",26.7766172506739
"31-01",26.5635190217391
"31-03",26.986197564276
"31-05",26.9987118644068
"31-07",26.3785665990534
"31-08",26.5801765105227
"31-10",27.2521915037087
"31-12",26.6044715447154
