"date","max_wind_speed","wind_direction"
"01-01-2010",4.62758620689655,225.648275862069
"01-01-2011",5.28671328671329,242.104895104895
"01-01-2012",4.71942446043165,233.424460431655
"01-01-2013",5.16216216216216,221.36036036036
"01-01-2014",4.60583941605839,208.160583941606
"01-01-2015",4.70138888888889,226.881944444444
"01-01-2016",4.52317880794702,195.655629139073
"01-01-2017",4.49019607843137,217.627450980392
"01-01-2018",4.15286624203822,208.127388535032
"01-01-2019",4.8125,237.5375
"01-01-2020",4.66666666666667,200.722222222222
"01-02-2010",4.88194444444444,223.888888888889
"01-02-2011",4.81944444444444,230.513888888889
"01-02-2012",5.21897810218978,203.868613138686
"01-02-2013",4.72815533980583,210.660194174757
"01-02-2014",5.82014388489209,253.431654676259
"01-02-2015",4.73381294964029,212.712230215827
"01-02-2016",5.08552631578947,230.921052631579
"01-02-2017",4.78709677419355,245.574193548387
"01-02-2018",5.09493670886076,238.253164556962
"01-02-2019",4.71069182389937,206.547169811321
"01-02-2020",4.62111801242236,179.850931677019
"01-03-2010",4.86896551724138,209.951724137931
"01-03-2011",5.43537414965986,226.829931972789
"01-03-2012",5.06521739130435,246.891304347826
"01-03-2013",4.81553398058252,214.873786407767
"01-03-2014",4.85714285714286,207.028571428571
"01-03-2015",4.73282442748092,209.358778625954
"01-03-2016",4.89403973509934,205.509933774834
"01-03-2017",4.53246753246753,216.811688311688
"01-03-2018",4.04347826086957,201.211180124224
"01-03-2019",4.53503184713376,188.331210191083
"01-03-2020",4.55487804878049,197.560975609756
"01-04-2010",4.57857142857143,234.671428571429
"01-04-2011",5.43537414965986,247.857142857143
"01-04-2012",4.97841726618705,206.438848920863
"01-04-2013",6.25490196078431,161.078431372549
"01-04-2014",4.70503597122302,153.640287769784
"01-04-2015",4.56692913385827,173.574803149606
"01-04-2016",4.32258064516129,171.296774193548
"01-04-2017",4.44155844155844,208.467532467532
"01-04-2018",4.73584905660377,209.132075471698
"01-04-2019",4.15822784810127,216.183544303797
"01-04-2020",4.14649681528662,203.464968152866
"01-05-2010",4.91780821917808,168.472602739726
"01-05-2011",4.68,213.193333333333
"01-05-2012",4.62043795620438,168.299270072993
"01-05-2013",4.62244897959184,146.836734693878
"01-05-2014",4.15602836879433,172.234042553192
"01-05-2015",4.28225806451613,214.685483870968
"01-05-2016",4.31612903225806,155.612903225806
"01-05-2017",4.2,175.013333333333
"01-05-2018",4.28481012658228,161.215189873418
"01-05-2019",4.14649681528662,205.420382165605
"01-05-2020",4.13422818791946,184.026845637584
"01-06-2010",4.48275862068965,185.820689655172
"01-06-2011",5.10489510489511,166.384615384615
"01-06-2012",5.23741007194245,182.942446043165
"01-06-2013",4.69902912621359,213.21359223301
"01-06-2014",4.25714285714286,153
"01-06-2015",4.14634146341463,143.853658536585
"01-06-2016",4.26174496644295,159.96644295302
"01-06-2017",4.42207792207792,170.12987012987
"01-06-2018",4.06875,181.63125
"01-06-2019",4.39240506329114,171.417721518987
"01-06-2020",4.27741935483871,151.212903225806
"01-07-2010",4.53846153846154,143.993006993007
"01-07-2011",4.81756756756757,177.918918918919
"01-07-2012",5.37410071942446,155.618705035971
"01-07-2013",4.83809523809524,156.809523809524
"01-07-2014",4.95205479452055,163.561643835616
"01-07-2015",4.89922480620155,178.837209302326
"01-07-2016",4.34210526315789,178.539473684211
"01-07-2017",4.50980392156863,156.241830065359
"01-07-2018",4.22360248447205,156.024844720497
"01-07-2019",4.46835443037975,158.044303797468
"01-07-2020",4.36129032258065,168.032258064516
"01-08-2010",4.93793103448276,157.496551724138
"01-08-2011",5.57046979865772,161.355704697987
"01-08-2012",5.42753623188406,181.152173913043
"01-08-2013",5.72549019607843,193.28431372549
"01-08-2014",4.90909090909091,170.426573426573
"01-08-2015",4.87313432835821,152.865671641791
"01-08-2016",4.61935483870968,186.387096774194
"01-08-2017",5.62820512820513,174.423076923077
"01-08-2018",4.625,174.5875
"01-08-2019",4.89506172839506,149.246913580247
"01-08-2020",4.82208588957055,162.662576687117
"01-09-2010",5.18620689655172,165.089655172414
"01-09-2011",5.19310344827586,167.220689655172
"01-09-2012",5.55147058823529,170.808823529412
"01-09-2013",4.57843137254902,140.764705882353
"01-09-2014",5.03521126760563,152.295774647887
"01-09-2015",5,157.576642335766
"01-09-2016",4.41290322580645,184.348387096774
"01-09-2017",4.55063291139241,157.835443037975
"01-09-2018",4.67295597484277,164.364779874214
"01-09-2019",4.9748427672956,156.308176100629
"01-09-2020",4.91304347826087,154.062111801242
"01-10-2010",4.6875,190.423611111111
"01-10-2011",5.40136054421769,191.986394557823
"01-10-2012",5.32142857142857,176.328571428571
"01-10-2013",5.14018691588785,168.710280373832
"01-10-2014",5.28467153284672,156.766423357664
"01-10-2015",5.52142857142857,131.485714285714
"01-10-2016",4.7843137254902,222.241830065359
"01-10-2017",4.22151898734177,175.246835443038
"01-10-2018",4.72327044025157,172.100628930818
"01-10-2019",4.80124223602484,153.062111801242
"01-10-2020",4.93251533742331,156.20245398773
"01-11-2010",5.28671328671329,195.657342657343
"01-11-2011",4.89655172413793,190.551724137931
"01-11-2012",4.93478260869565,182.891304347826
"01-11-2013",4.29661016949153,164.983050847458
"01-11-2014",4.68965517241379,195.979310344828
"01-11-2015",4.61073825503356,168.328859060403
"01-11-2016",4.38961038961039,209.88961038961
"01-11-2017",4.25786163522013,195.320754716981
"01-11-2018",4.47826086956522,159.900621118012
"01-11-2019",4.39130434782609,192.739130434783
"01-11-2020",4.52469135802469,209.549382716049
"01-12-2010",4.64084507042254,215.176056338028
